X,Y,Z
34.89,120.78,1008.33
36.6,122.37,1009.31
36.97,124.2,1007.84
37.82,124.93,1007.96
38.06,127.12,1009.43
38.43,127.37,1007.96
38.8,128.1,1006.99
39.16,132.74,1009.06
37.94,136.4,1007.96
37.58,138.84,1007.84
36.23,143.72,1010.04
35.14,147.62,1007.96
35.38,150.43,1008.45
35.5,154.82,1009.92
36.72,158.36,1008.33
37.33,160.67,1009.55
37.82,162.5,1010.77
39.53,165.31,1008.45
40.75,167.14,1008.7
42.82,169.46,1009.92
43.92,170.31,1007.96
46.73,173.0,1007.96
47.82,173.85,1007.72
48.8,174.34,1005.77
50.75,176.05,1006.26
51.73,175.92,1004.55
52.58,176.41,1003.57
54.29,177.27,1004.79
54.78,177.63,1003.57
56.36,178.36,1002.35
56.85,178.61,1003.69
57.83,178.0,1002.23
58.32,178.61,1002.23
58.8,178.97,1003.45
59.29,179.1,1001.86
59.54,178.97,1003.33
59.29,178.61,1003.21
59.54,179.1,1004.55
58.93,178.97,1005.04
59.05,178.36,1003.69
59.41,178.36,1004.79
59.41,178.36,1005.65
59.54,178.12,1004.3
59.78,178.24,1005.28
59.66,177.51,1004.55
59.9,177.75,1005.28
60.02,177.75,1005.77
60.15,177.75,1004.55
61.0,177.63,1005.77
61.98,177.51,1004.43
62.34,177.63,1005.4
62.71,177.51,1005.89
63.56,177.39,1004.55
63.93,177.51,1005.4
64.54,177.27,1004.43
65.03,177.27,1004.06
66.12,177.14,1005.4
67.1,176.9,1003.94
68.08,176.78,1005.04
69.05,176.17,1003.82
70.52,175.92,1004.67
71.25,175.68,1003.82
71.49,175.92,1004.3
71.74,175.44,1004.79
72.1,175.68,1003.57
72.22,175.92,1004.3
72.71,176.17,1004.67
72.96,176.78,1004.43
73.32,177.51,1004.79
73.69,178.85,1004.3
74.05,179.71,1004.91
74.66,181.29,1004.43
75.03,183.24,1004.79
75.4,184.46,1004.55
75.76,186.66,1004.67
76.49,187.64,1004.67
76.62,189.22,1005.28
77.84,190.56,1005.16
78.08,192.39,1004.55
78.57,193.74,1004.67
78.69,193.86,1004.43
79.67,194.83,1004.18
81.25,195.32,1002.6
81.86,197.15,1002.35
83.2,196.42,1002.11
83.45,196.18,1002.23
84.42,194.96,1001.74
84.91,194.96,1002.23
85.64,194.47,1000.4
86.38,193.49,1000.28
86.86,192.03,999.18
87.23,190.32,998.94
87.23,188.61,999.3
87.6,185.2,998.94
86.5,182.51,997.59
86.5,181.17,997.23
85.03,178.85,997.72
84.67,177.14,997.47
82.96,174.7,998.94
82.59,173.24,997.84
81.86,172.63,997.96
80.28,171.78,999.79
79.06,170.31,999.42
77.23,170.56,1001.86
76.62,170.07,1001.01
75.4,171.53,1002.35
73.32,171.65,1001.86
71.98,173.24,1004.06
71.0,173.73,1003.94
69.54,174.58,1004.18
68.08,174.95,1004.3
67.34,175.19,1003.82
65.64,175.19,1004.43
64.42,175.44,1004.55
62.95,175.19,1003.82
62.1,175.07,1004.43
60.51,173.24,1003.08
58.56,172.26,1003.82
56.97,170.43,1002.11
56.0,169.09,1002.96
55.14,168.12,1002.35
54.78,167.02,1001.86
54.17,165.31,1003.08
53.68,164.33,1002.6
53.92,162.5,1002.35
53.56,161.04,1002.84
53.68,160.19,1002.6
53.92,159.33,1004.67
53.68,158.36,1004.18
54.05,157.87,1004.06
54.05,157.62,1004.79
54.29,157.87,1005.04
54.29,158.36,1006.01
54.05,158.6,1005.65
54.17,159.7,1005.28
53.92,160.43,1006.26
53.8,161.28,1005.52
53.56,161.89,1006.13
53.31,164.09,1006.01
53.31,165.43,1006.26
53.07,166.41,1006.5
53.44,167.87,1006.74
52.95,170.31,1006.99
52.7,171.17,1007.23
52.09,172.26,1007.72
51.97,173.0,1006.99
51.48,174.22,1006.99
50.63,175.31,1006.99
50.02,176.05,1005.89
