X,Y,Z
83.08,104.92,1009.79
83.08,104.92,1010.16
82.96,105.04,1010.40
83.20,104.92,1010.16
83.33,104.92,1009.55
83.57,104.43,1008.82
83.20,104.92,1009.43
83.45,104.80,1008.82
82.96,104.68,1008.70
83.08,104.80,1008.82
82.96,104.55,1007.96
83.33,104.68,1008.45
82.96,104.43,1008.94
82.96,104.92,1008.70
82.72,104.80,1009.06
83.08,105.04,1009.31
83.20,104.92,1009.31
83.20,104.92,1009.43
83.20,104.92,1009.06
83.20,104.68,1009.18
83.20,104.43,1009.18
83.20,105.16,1009.79
83.08,105.16,1009.31
82.96,105.16,1009.55
83.20,105.04,1009.55
83.20,104.92,1008.94
83.20,104.92,1008.94
82.96,104.68,1008.70
82.72,105.04,1008.94
83.20,105.16,1008.94
83.45,105.16,1009.18
82.96,105.04,1009.06
81.98,104.43,1008.45
82.96,105.41,1009.67
83.45,104.92,1008.82
83.45,105.04,1009.67
83.81,105.65,1008.33
83.20,105.04,1009.43
83.20,105.41,1009.18
83.33,104.92,1009.18
83.08,104.92,1009.06
82.96,104.68,1007.96
82.96,104.55,1008.33
83.33,105.29,1009.55
83.08,105.29,1009.67
83.33,105.29,1009.92
83.20,105.16,1009.18
83.33,105.16,1009.43
83.20,104.92,1009.67
83.20,104.80,1008.70
83.08,104.68,1008.21
83.08,104.80,1007.96
83.20,105.16,1008.82
83.33,105.16,1008.94
83.08,105.41,1009.18
83.08,104.92,1008.94
83.08,105.16,1009.18
83.33,105.16,1008.45
83.33,105.41,1009.06
83.33,105.41,1008.57
83.45,105.29,1009.31
83.20,105.16,1009.18
83.08,104.92,1008.70
83.20,105.41,1008.82
83.33,105.41,1009.06
83.33,104.92,1008.45
82.96,105.41,1008.70
82.96,104.92,1008.21
83.45,105.65,1009.43
83.33,104.92,1008.21
82.96,104.92,1008.33
82.96,105.04,1008.70
83.20,105.29,1008.70
83.08,105.16,1008.57
83.20,105.53,1008.94
83.08,105.04,1009.06
83.08,105.16,1008.94
83.20,105.41,1008.57
83.20,105.16,1008.94
82.84,105.65,1009.67
83.08,104.92,1008.82
83.08,105.53,1008.70
83.57,105.16,1009.31
83.20,105.41,1009.43
83.20,105.41,1009.67
83.20,105.53,1009.55
83.20,105.65,1009.43
83.33,105.29,1008.45
83.33,105.16,1008.70
83.20,105.29,1008.70
83.45,105.29,1008.45
82.96,105.41,1009.06
83.20,105.29,1008.45
83.45,105.16,1008.57
83.20,105.41,1009.43
83.33,105.16,1008.94
82.96,105.16,1008.45
82.96,105.04,1008.09
83.08,105.29,1008.09
83.57,105.29,1008.70
83.45,105.41,1008.94
82.96,105.41,1008.94
83.20,105.77,1009.18
83.45,105.65,1009.67
83.45,105.41,1008.94
83.33,105.29,1008.45
83.20,105.29,1008.70
83.69,105.41,1008.94
83.08,105.53,1009.31
83.20,105.77,1008.82
83.33,105.65,1008.70
83.20,105.04,1008.21
82.84,105.16,1008.21
82.96,105.41,1007.72
83.20,105.65,1009.06
83.33,105.29,1008.45
83.33,105.77,1009.06
83.20,105.16,1007.72
83.08,105.29,1007.96
83.20,105.41,1008.70
83.33,105.77,1009.06
83.69,105.77,1008.94
83.08,105.41,1008.82
83.20,105.90,1009.18
83.33,105.29,1008.21
83.33,105.77,1008.94
83.45,105.77,1009.18
83.20,105.41,1009.06
83.08,105.65,1009.18
83.45,105.65,1008.70
83.08,105.90,1008.94
83.20,105.41,1008.82
83.20,105.53,1008.21
83.45,105.77,1008.94
83.57,105.90,1009.31
83.20,105.65,1008.82
83.20,105.65,1008.70
82.96,105.90,1008.45
82.96,105.29,1008.45
83.08,105.41,1008.57
83.20,105.90,1009.18
83.45,105.53,1009.06
83.20,105.53,1009.06
83.08,105.41,1007.60
82.96,105.29,1007.48
83.20,105.65,1007.84
83.45,105.77,1008.82
83.20,105.65,1008.70
83.45,105.41,1009.06
83.45,105.90,1009.06
83.08,105.41,1008.45
82.96,105.53,1008.70
83.45,105.29,1009.06
82.96,105.65,1009.31
82.72,105.90,1009.31
83.33,105.90,1009.31
83.33,105.65,1008.21
83.08,105.04,1007.84
83.08,105.65,1008.09
83.08,105.65,1008.57
83.08,105.65,1008.70
83.08,105.90,1008.94
82.96,105.41,1008.45
83.08,105.41,1008.09
83.20,105.41,1008.09
83.08,105.65,1008.33
83.33,105.77,1008.94
83.45,105.90,1008.21
83.45,105.77,1009.06
82.96,105.65,1008.70
82.96,106.02,1009.18
83.20,106.14,1009.67
83.20,105.90,1009.18
83.33,105.65,1009.06
83.20,106.02,1009.43
83.33,105.65,1008.94
82.96,105.90,1009.18
82.96,106.02,1009.18
83.08,105.77,1008.45
83.33,105.41,1007.35
82.96,105.41,1007.48
83.20,105.90,1008.70
82.96,105.90,1008.82
83.20,106.14,1008.70
83.45,105.65,1008.70
83.33,105.41,1008.21
83.08,105.41,1008.21
83.20,105.65,1008.33
83.20,105.90,1008.94
83.45,105.90,1008.21
83.08,105.90,1008.70
83.20,105.90,1008.94
82.96,105.90,1009.43
83.33,105.90,1008.82
82.96,106.02,1008.94
83.69,105.90,1008.94
83.20,105.77,1008.57
82.96,105.90,1008.21
83.45,106.14,1009.31
83.20,105.90,1009.18
83.45,106.02,1009.43
83.57,106.26,1009.18
82.96,105.90,1008.33
83.08,105.90,1008.94
83.33,105.65,1008.82
82.96,106.14,1008.57
83.08,105.65,1008.70
83.33,105.90,1008.82
83.20,106.14,1009.31
83.33,105.90,1008.70
83.33,105.90,1008.57
83.08,106.14,1008.45
83.45,106.14,1008.45
83.33,105.90,1008.70
82.96,105.90,1008.45
83.20,105.90,1008.09
83.20,105.65,1007.84
83.08,105.77,1007.96
83.45,106.02,1008.94
83.57,105.90,1009.06
83.69,106.14,1008.82
83.33,106.14,1009.18
82.96,106.02,1009.18
83.20,105.90,1008.94
83.20,106.14,1008.94
83.20,106.26,1009.18
83.33,106.14,1008.94
83.45,105.90,1008.70
83.45,106.02,1008.82
82.96,105.90,1008.45
83.20,106.02,1008.82
83.20,106.38,1008.70
83.20,105.77,1007.72
83.20,105.90,1008.21
83.45,106.14,1008.70
83.20,105.65,1008.33
83.08,106.14,1008.82
83.57,106.38,1008.45
83.20,105.90,1009.18
83.33,106.14,1008.94
83.20,106.14,1008.70
83.33,105.90,1008.45
83.20,105.90,1007.96
83.45,106.38,1008.21
83.33,106.02,1008.70
82.96,106.02,1008.57
83.45,106.38,1008.21
83.33,105.77,1007.84
83.20,105.90,1007.84
82.84,106.02,1007.96
83.08,106.02,1007.72
83.20,106.14,1007.96
83.45,105.90,1007.72
83.45,106.26,1008.70
83.45,105.77,1008.21
82.84,106.02,1007.60
83.45,106.51,1008.82
83.81,106.26,1008.57
83.20,106.51,1008.82
83.69,106.38,1008.45
83.69,106.38,1008.70
83.20,106.14,1008.82
83.45,106.14,1008.94
83.20,106.14,1008.33
83.20,106.14,1008.33
83.20,106.14,1008.45
83.33,106.26,1008.33
83.69,106.14,1008.21
83.20,106.51,1009.18
83.33,105.65,1007.96
83.20,106.51,1008.45
83.20,106.02,1008.33
83.20,106.99,1008.70
83.81,105.77,1007.23
83.33,105.77,1008.21
83.69,106.38,1009.43
83.33,106.26,1009.67
83.08,106.63,1009.43
83.45,105.90,1008.21
83.45,106.63,1008.82
83.57,106.26,1009.06
83.57,106.26,1009.06
83.94,106.51,1009.18
83.45,106.14,1009.18
83.57,106.02,1008.70
83.33,106.51,1008.57
83.20,106.51,1008.09
83.45,106.38,1008.21
83.20,105.90,1007.60
83.57,106.38,1008.57
83.69,106.63,1008.70
82.96,106.75,1008.70
83.45,106.02,1008.45
83.20,105.90,1008.09
83.08,106.26,1007.96
83.33,106.14,1008.82
83.94,106.26,1009.43
83.08,106.51,1009.18
83.45,106.75,1008.82
83.20,105.90,1008.82
83.33,106.63,1009.43
83.20,106.87,1009.43
83.57,106.26,1008.33
83.45,106.38,1008.94
83.57,106.26,1008.70
83.20,106.38,1008.21
83.33,106.38,1008.70
83.45,106.63,1009.18
83.57,106.38,1008.70
83.20,106.51,1009.18
83.69,106.26,1008.94
83.33,106.26,1008.33
82.96,106.38,1009.18
83.45,106.14,1009.55
82.96,106.51,1008.57
83.08,106.26,1009.18
84.18,106.14,1008.82
83.57,106.26,1008.33
83.33,106.38,1007.72
83.45,106.63,1008.21
83.45,106.38,1008.45
83.45,106.51,1008.33
83.45,106.38,1008.45
83.33,106.51,1008.57
83.45,106.14,1007.60
83.20,106.14,1007.11
83.57,106.26,1008.21
83.20,106.63,1008.94
83.20,106.63,1008.70
83.69,106.26,1008.21
83.45,106.63,1008.21
83.57,106.63,1008.94
83.57,106.26,1009.06
83.45,106.63,1009.43
83.33,106.87,1009.43
83.57,106.14,1008.21
83.57,106.87,1009.31
83.45,106.63,1008.33
83.20,106.38,1007.48
83.94,106.75,1008.33
83.69,106.38,1008.57
83.20,106.63,1008.94
83.45,106.51,1008.70
83.33,106.99,1009.55
83.33,106.51,1008.57
83.20,106.87,1009.18
83.81,106.87,1009.06
83.57,106.75,1009.18
83.20,106.63,1009.18
83.33,106.51,1008.70
83.69,106.63,1009.18
83.20,107.12,1009.18
83.45,106.38,1009.43
83.20,106.99,1008.94
82.96,106.63,1008.82
83.45,106.63,1009.43
83.45,106.99,1009.55
83.69,106.26,1008.21
83.45,106.63,1008.33
83.20,106.38,1008.21
83.69,106.75,1008.45
82.59,107.85,1009.18
83.20,106.51,1007.96
84.06,106.14,1008.45
83.81,106.63,1008.57
