X,Y,Z
34.40,-131.64,1015.77
34.77,-131.76,1015.77
34.16,-131.76,1016.50
34.77,-131.52,1016.02
35.62,-131.39,1015.65
34.89,-131.15,1015.77
35.62,-131.52,1015.89
34.89,-131.76,1016.02
35.14,-131.76,1016.50
35.01,-131.64,1016.26
34.40,-131.27,1015.77
34.65,-131.39,1016.02
34.65,-131.27,1016.02
35.01,-131.64,1016.02
35.26,-131.52,1016.63
35.14,-131.64,1016.26
35.14,-131.52,1016.02
35.14,-131.27,1015.65
35.26,-131.27,1016.14
34.40,-131.88,1016.75
34.89,-131.27,1015.89
35.14,-131.15,1016.26
35.38,-131.39,1016.02
34.53,-131.88,1016.26
34.65,-131.88,1016.02
34.77,-131.64,1016.14
34.28,-131.27,1016.02
34.40,-131.15,1015.77
34.65,-131.52,1016.02
34.77,-131.52,1016.50
35.50,-131.64,1016.38
35.75,-131.15,1016.02
35.26,-131.39,1016.02
34.77,-131.39,1016.02
35.01,-131.76,1016.26
34.77,-131.76,1015.77
35.01,-131.52,1015.77
35.26,-131.27,1015.89
34.40,-131.15,1015.77
35.62,-131.27,1016.02
34.89,-131.64,1016.63
34.89,-131.76,1016.26
35.01,-131.39,1016.26
34.40,-131.27,1015.89
34.40,-131.15,1015.53
34.04,-131.76,1016.14
35.01,-131.39,1015.77
35.14,-131.27,1016.38
35.26,-131.52,1016.14
35.14,-131.27,1015.89
34.77,-131.64,1015.53
35.26,-132.00,1015.65
33.92,-131.76,1016.02
34.89,-131.64,1016.26
34.65,-131.52,1016.38
34.40,-131.27,1015.53
35.01,-131.76,1016.26
35.26,-131.52,1015.41
35.38,-131.52,1016.02
35.62,-132.98,1016.38
34.53,-131.88,1016.14
35.38,-131.52,1014.92
34.16,-131.39,1015.53
35.14,-131.27,1016.02
34.28,-131.64,1016.14
35.38,-131.64,1016.02
35.50,-131.52,1015.89
34.65,-131.27,1015.53
35.62,-131.39,1015.41
35.14,-131.76,1015.77
34.65,-131.64,1016.63
34.77,-131.39,1016.50
35.38,-131.39,1015.77
35.26,-131.27,1015.41
35.50,-131.27,1015.04
35.01,-131.64,1015.77
35.62,-131.52,1015.89
35.50,-131.64,1015.41
35.14,-131.39,1014.92
34.89,-131.39,1014.67
34.77,-131.15,1015.28
34.28,-131.52,1015.53
35.38,-131.88,1015.53
35.01,-131.64,1015.53
35.14,-131.39,1014.92
35.62,-131.27,1014.92
34.89,-131.52,1015.28
34.89,-131.88,1015.04
34.89,-131.76,1015.53
34.65,-131.64,1015.77
35.01,-131.52,1015.16
34.28,-131.27,1015.53
35.62,-131.52,1015.77
34.77,-131.88,1016.26
35.87,-131.64,1015.77
35.38,-131.76,1016.26
34.89,-131.27,1015.65
34.53,-131.39,1015.77
34.40,-131.39,1016.02
35.50,-132.00,1015.77
35.38,-131.52,1016.02
34.77,-131.52,1016.02
35.75,-131.27,1015.53
34.65,-131.27,1015.77
