X,Y,Z
89.06,-193.37,999.79
103.82,-195.32,1012.11
100.53,-201.67,1001.50
99.67,-193.98,1000.52
103.94,-205.69,998.45
107.12,-199.23,1000.03
106.02,-207.64,994.54
114.92,-207.28,1007.48
101.75,-205.33,997.47
113.83,-211.91,1005.04
104.43,-209.35,995.52
115.05,-219.60,1000.40
108.34,-213.01,996.13
119.32,-218.14,1007.35
108.82,-224.85,993.69
113.09,-219.60,1000.28
107.24,-227.16,991.98
118.46,-233.51,1002.47
107.60,-228.87,993.81
116.75,-238.88,997.84
107.36,-228.87,997.96
108.34,-239.73,996.25
105.90,-231.19,998.69
116.14,-248.39,1000.40
112.73,-240.10,1002.11
114.19,-255.22,994.30
106.38,-243.51,994.54
120.05,-252.91,998.69
110.65,-244.85,992.84
106.75,-253.03,986.00
115.29,-248.51,1001.13
106.02,-252.54,989.91
117.85,-253.27,1000.89
106.26,-249.86,990.88
119.56,-260.10,1001.25
109.31,-253.88,994.06
119.44,-265.72,996.86
107.24,-261.69,986.74
118.10,-263.03,997.11
114.44,-275.72,990.76
120.17,-271.21,999.55
108.58,-269.38,987.96
120.78,-285.24,991.86
112.00,-275.96,987.10
116.51,-270.60,989.79
112.24,-253.27,988.08
120.05,-267.30,988.81
109.56,-268.89,986.25
113.46,-279.14,990.27
100.28,-269.86,989.18
109.07,-275.23,997.72
96.87,-269.62,990.76
104.55,-274.99,997.72
95.16,-268.03,990.88
94.79,-277.79,986.00
95.16,-269.38,996.98
89.55,-275.96,988.44
93.21,-268.40,998.69
92.96,-277.43,998.69
90.52,-267.30,1003.57
88.33,-274.74,996.50
80.40,-263.89,991.49
92.48,-267.42,1003.69
81.74,-262.54,996.37
84.18,-271.33,993.81
83.94,-259.74,996.13
83.57,-267.79,989.05
88.45,-259.01,995.40
95.53,-270.35,996.98
92.35,-260.96,998.45
93.21,-268.64,996.13
82.23,-258.15,993.20
89.91,-266.81,996.86
83.81,-255.47,994.91
97.23,-260.84,1002.84
87.96,-253.39,995.28
88.94,-262.79,989.18
94.55,-253.88,995.52
91.26,-261.08,986.74
100.04,-254.49,996.74
93.21,-258.40,987.10
104.80,-255.47,999.06
103.70,-265.72,989.66
107.97,-258.64,997.72
101.02,-265.96,988.69
96.26,-255.47,992.35
105.65,-264.25,1000.89
96.26,-256.44,996.50
92.72,-264.50,989.66
95.53,-254.98,999.06
89.06,-260.59,989.18
96.87,-255.47,998.33
96.01,-266.69,993.81
97.11,-258.40,1000.77
91.50,-267.06,993.20
84.30,-256.69,992.84
87.23,-266.94,991.13
83.45,-264.62,990.76
91.87,-263.40,1001.13
82.96,-254.25,997.96
78.32,-261.93,1000.03
83.45,-255.10,999.91
76.13,-259.98,990.40
85.16,-256.57,1003.08
83.45,-267.06,996.50
85.16,-258.88,1003.45
79.42,-268.03,995.52
73.20,-257.54,998.33
75.88,-267.67,996.98
73.93,-257.18,1001.01
83.57,-266.20,1006.13
76.37,-257.54,1004.06
72.71,-265.84,996.50
80.15,-260.10,1003.45
88.33,-271.69,998.69
90.04,-263.52,1002.60
94.18,-276.94,996.50
85.77,-267.91,995.15
93.09,-276.57,995.76
93.33,-269.99,988.69
112.36,-281.70,996.13
100.89,-278.89,984.42
113.58,-278.65,994.42
108.82,-266.94,992.35
102.85,-270.11,984.78
116.88,-265.35,1000.89
108.58,-266.33,988.69
129.20,-274.50,994.79
119.80,-276.70,979.29
132.25,-278.04,990.76
119.44,-272.79,982.34
135.42,-277.43,995.03
127.12,-285.11,980.03
140.54,-284.26,990.88
128.95,-275.35,977.95
143.72,-284.02,984.42
148.72,-275.23,990.88
140.30,-277.18,975.39
150.43,-267.91,985.88
141.28,-272.43,974.05
160.31,-280.11,988.32
147.99,-271.45,980.51
161.65,-287.80,983.20
148.84,-275.35,974.54
166.90,-286.21,987.22
157.38,-276.33,982.59
163.24,-291.58,980.76
166.53,-282.80,987.83
153.84,-277.92,976.61
170.07,-292.31,984.66
162.99,-281.58,983.32
164.70,-298.29,976.98
157.62,-285.60,979.29
