X_times,Y-amplitude
0.38,-390.98932553270845
0.385,-331.81510181118557
0.39,-273.1673940090512
0.395,-215.0289296755849
0.4,-157.39161539453306
0.405,-100.25711547972895
0.41,-43.637320394373376
0.415,12.445294755360493
0.42,67.95742464090596
0.425,122.85480696314188
0.43,177.08222190100292
0.435,230.57362451171562
0.44,283.25241408550056
0.445,335.0318399558632
0.45,385.8155379325683
0.455,435.4981866875981
0.46,483.96627036161914
0.465,531.0989330885046
0.47,576.7689130199767
0.475,620.8435469920114
0.48,663.1858408550899
0.485,703.6556032419314
0.49,742.1106412234783
0.495,778.4080147026938
0.5,812.4053428963446
0.505,843.9621516511189
0.51,872.9412457668674
0.515,899.2100872267583
0.52,922.6421592651762
0.525,943.1182978919044
0.53,960.5279763695002
0.535,974.770533036103
0.54,985.7563372642438
0.545,993.4078909136841
0.55,997.6608627050433
0.555,998.4650507215764
0.56,995.7852646458068
0.565,989.6021155655219
0.57,979.912698430272
0.575,966.7311514538595
0.58,950.0890784154122
0.585,930.0358237300528
0.59,906.638595497674
0.595,879.9824371793616
0.6,850.1700526906124
0.605,817.3214915677996
0.61,781.573700307312
0.615,743.0799436659519
0.62,702.0090968102529
0.625,658.5448069194895
0.63,612.884522087214
0.635,565.2383865981935
0.64,515.8280048986949
0.645,464.885081363334
0.65,412.6499484160759
0.655,359.37000071212435
0.66,305.2980571652079
0.665,250.6906750777298
0.67,195.80644114435407
0.675,140.904262601951
0.68,86.24167867925868
0.685,32.07320852549018
0.69,-21.351252109093558
0.695,-73.78797621184897
0.7,-125.00088533851319
0.705,-174.7629566192606
0.71,-222.8575485318704
0.715,-269.0796351837349
0.72,-313.2369370073128
0.725,-355.1509347561691
0.73,-394.6577541849752
0.735,-431.60891116539005
0.74,-465.8719109778946
0.745,-497.3307002602701
0.75,-525.8859744699681
0.755,-551.4553467983151
0.76,-573.9733857876076
0.765,-593.391528515775
0.77,-609.6778746113682
0.775,-622.816864258051
0.78,-632.8088415982979
0.785,-639.6695044119352
0.79,-643.4292421834269
0.795,-644.1323676738465
0.8,-641.8362512621825
0.805,-636.610371533404
0.81,-628.5352986896239
0.815,-617.7016285645219
0.82,-604.208884179595
0.825,-588.164399270532
0.83,-569.6821947840176
0.835,-548.8818559643204
0.84,-525.8874152224828
