time [s],heart_rate [bpm] (/api/datatype/19/)
1666734882.60937500,69
1666734883.60937500,69
1666734884.60937500,69
1666734885.60937500,69
1666734886.60937500,71
1666734887.60937500,71
1666734888.60937500,71
1666734889.60937500,71
1666734890.60937500,72
1666734891.60937500,71
1666734892.60937500,72
1666734893.60937500,72
1666734894.60937500,72
1666734895.60937500,71
1666734896.60937500,71
1666734897.60937500,72
1666734898.60937500,73
1666734899.60937500,73
1666734900.60937500,72
1666734901.60937500,72
1666734902.60937500,71
1666734903.60937500,71
1666734904.60937500,71
1666734905.60937500,71
1666734906.60937500,71
1666734907.60937500,71
1666734908.60937500,72
1666734909.60937500,73
1666734910.60937500,74
1666734911.60937500,72
1666734912.60937500,72
1666734913.60937500,72
1666734914.60937500,73
1666734915.60937500,74
1666734916.60937500,73
1666734917.60937500,72
1666734918.60937500,72
1666734919.60937500,72
1666734920.60937500,72
1666734921.60937500,71
1666734922.60937500,71
1666734923.60937500,70
1666734924.60937500,70
1666734925.60937500,70
1666734926.60937500,70
1666734927.60937500,69
1666734928.60937500,69
1666734929.60937500,69
1666734930.60937500,70
1666734931.60937500,70
1666734932.60937500,69
1666734933.60937500,69
1666734934.60937500,70
1666734935.60937500,70
1666734936.60937500,69
1666734937.60937500,69
1666734938.60937500,70
1666734939.60937500,70
1666734940.60937500,70
1666734941.60937500,71
1666734942.60937500,72
1666734943.60937500,71
1666734944.60937500,71
1666734945.60937500,72
1666734946.60937500,72
1666734947.60937500,72
1666734948.60937500,71
1666734949.60937500,72
1666734950.60937500,72
1666734951.60937500,72
1666734952.60937500,72
1666734953.60937500,72
1666734954.60937500,71
1666734955.60937500,71
1666734956.60937500,71
1666734957.60937500,70
1666734958.60937500,71
1666734959.60937500,71
1666734960.60937500,70
1666734961.60937500,70
1666734962.60937500,70
1666734963.60937500,70
1666734964.60937500,70
1666734965.60937500,69
1666734966.60937500,70
1666734967.60937500,70
1666734968.60937500,70
1666734969.60937500,70
1666734970.60937500,70
1666734971.60937500,71
1666734972.60937500,71
1666734973.60937500,70
1666734974.60937500,70
1666734975.60937500,71
1666734976.60937500,70
1666734977.60937500,70
1666734978.60937500,70
1666734979.60937500,71
1666734980.60937500,71
1666734981.60937500,71
1666734982.60937500,70
1666734983.60937500,71
1666734984.60937500,71
1666734985.60937500,71
1666734986.60937500,71
1666734987.60937500,72
1666734988.60937500,72
1666734989.60937500,71
1666734990.60937500,71
1666734991.60937500,72
1666734992.60937500,71
1666734993.60937500,71
1666734994.60937500,71
1666734995.60937500,71
1666734996.60937500,71
1666734997.60937500,70
1666734998.60937500,71
1666734999.60937500,71
1666735000.60937500,71
1666735001.60937500,71
1666735002.60937500,71
1666735003.60937500,71
1666735004.60937500,71
1666735005.60937500,71
1666735006.60937500,71
1666735007.60937500,72
1666735008.60937500,71
1666735009.60937500,72
1666735010.60937500,72
1666735011.60937500,72
1666735012.60937500,72
1666735013.60937500,72
1666735014.60937500,72
1666735015.60937500,71
1666735016.60937500,71
1666735017.60937500,71
1666735018.60937500,71
1666735019.60937500,71
1666735020.60937500,71
1666735021.60937500,71
1666735022.60937500,71
1666735023.60937500,70
1666735024.60937500,71
1666735025.60937500,71
1666735026.60937500,71
1666735027.60937500,70
1666735028.60937500,71
1666735029.60937500,72
1666735030.60937500,71
1666735031.60937500,71
1666735032.60937500,71
1666735033.60937500,72
1666735034.60937500,71
1666735035.60937500,71
1666735036.60937500,71
1666735037.60937500,71
1666735038.60937500,71
1666735039.60937500,70
1666735040.60937500,70
1666735041.60937500,71
1666735042.60937500,71
1666735043.60937500,70
1666735044.60937500,70
1666735045.60937500,71
1666735046.60937500,70
1666735047.60937500,70
1666735048.60937500,70
1666735049.60937500,70
1666735050.60937500,70
1666735051.60937500,70
1666735052.60937500,71
1666735053.60937500,72
1666735054.60937500,71
1666735055.60937500,71
1666735056.60937500,72
1666735057.60937500,72
1666735058.60937500,72
1666735059.60937500,72
1666735060.60937500,72
1666735061.60937500,72
1666735062.60937500,72
