X_times,Y-amplitude
0.0,129.48837604346764
0.1,-461.2219024676474
0.2,-1006.7614663478304
0.3,-1461.5827261819593
0.4,-1790.4422861801324
0.5,-1972.2598959153515
0.6,-2002.0329638328865
0.7,-1890.5834071634144
0.8,-1662.2498121531721
0.9,-1350.9525195999381
1.0,-995.2959424593963
1.1,-633.4893319869706
1.2,-298.8460537332064
1.3,-16.470280876899658
1.4,198.50843345399286
1.5,341.0863691187902
1.6,415.1364227846301
1.7,431.1836888662306
1.8,403.7354664097827
1.9,348.67945762836973
2.0,281.14418700327735
2.1,214.0336948348391
2.2,157.25780941278825
2.3,117.52876849189506
2.4,98.51611846103401
2.5,101.15227334401251
2.6,123.94606509399145
2.7,163.26040183696733
2.8,213.60449963088487
2.9,268.0455482696847
3.0,318.8380535735302
3.1,358.3025111848222
3.2,379.8817276221674
3.3,379.2012803356315
3.4,354.90021664692074
3.5,309.0055194515732
3.6,246.7031521761429
3.7,175.4914740963817
3.8,103.85462479845746
3.9,39.72181843158001
4.0,-10.954161014597833
4.1,-45.18162009490966
4.2,-63.25880655998009
4.3,-68.3860405877932
4.4,-65.67588999494974
4.5,-60.822115728575575
4.6,-58.76487051245937
4.7,-62.676158837248465
4.8,-73.49047247231626
4.9,-90.05051012944179
5.0,-109.77146351239175
5.1,-129.59473896829047
5.2,-146.9376431314786
5.3,-160.36515956964232
5.4,-169.80635772218344
5.5,-176.28291525869088
5.6,-181.2682675694867
5.7,-185.90782144728698
5.8,-190.36967823513777
5.9,-193.55057086920021
6.0,-193.2482369456193
6.1,-186.76414660044273
6.2,-171.7632644147427
6.3,-147.13051489709255
6.4,-113.55269703572242
6.5,-73.62512462415665
6.6,-31.41657193695132
6.7,8.413886365381753
6.8,41.71647625968936
6.9,65.86111124679618
7.0,80.36721713709501
7.1,86.96294402887246
7.2,89.04400867789836
7.3,90.67494809204408
7.4,95.40964222134622
7.5,105.26424846593218
7.6,120.13726219732871
7.7,137.84782927670074
7.8,154.7875380287854
7.9,167.00115122735974
8.0,171.38111383423964
8.1,166.6212701935186
8.2,153.64210336775653
8.3,135.3538692816178
8.4,115.81869911572386
8.5,99.05031952815531
8.6,87.79945005542137
8.7,82.68345380347498
8.8,81.92658150495306
8.9,81.80579972099262
9.0,77.69370804179357
9.1,65.41358143484065
9.2,42.52525973815783
9.3,9.17399507629444
9.4,-31.745460290009802
9.5,-75.16494984168682
9.6,-115.00715802530422
9.7,-145.62453540164398
9.8,-163.129093423831
9.9,-166.2666313490247
10.0,-156.62085552817555
10.1,-138.12135296244006
10.2,-116.02081728773196
10.3,-95.64574844610816
10.4,-81.27035738191606
10.5,-75.40315408509305
10.6,-78.63016671569684
10.7,-89.97543234251435
10.8,-107.57781654990933
10.9,-129.3953211940288
11.0,-153.66083558731458
11.1,-178.9203466712923
11.2,-203.64982072805162
11.3,-225.61728349829772
11.4,-241.27771138412115
11.5,-245.51916142573216
11.6,-232.003359800275
11.7,-194.17837324475508
11.8,-126.82927858356422
11.9,-27.836485082859035
12.0,100.30831335409744
12.1,249.68057131202207
12.2,407.1247709391564
12.3,555.5895032930778
12.4,676.4447093398287
12.5,752.3924063978371
12.6,770.425176183425
12.7,724.2475874453844
12.8,615.6645446728733
12.9,454.63768443294174
13.0,257.97186102881534
13.1,46.86125050131241
13.2,-156.25695813129713
13.3,-330.967652475722
13.4,-461.6800028466514
13.5,-539.4949001998225
13.6,-562.867349060117
13.7,-537.0405491431286
13.8,-472.4654534072817
13.9,-382.5961909813268
14.0,-281.53370801495316
14.1,-181.96557939847008
14.2,-93.73156978787496
14.3,-23.16589649131031
14.4,26.82515429272318
14.5,56.149843484120815
14.6,66.66793685877663
14.7,61.36141914849358
14.8,43.73957650428529
14.9,17.549367736788636
15.0,-13.26937160037117
15.1,-44.53561796296601
15.2,-71.86270529435882
15.3,-90.9101987968922
15.4,-97.88782110947395
15.5,-90.23045537416878
15.6,-67.2654353509649
15.7,-30.649465212772796
15.8,15.617823793550565
15.9,65.6972130141513
16.0,112.88156577112284
16.1,150.84565011004986
16.2,174.88803728653363
16.3,182.86016966385827
16.4,175.54362167229357
16.5,156.37068275911798
16.6,130.5500277134081
16.7,103.81302722585073
16.8,81.09479166039532
16.9,65.4795949269324
17.0,57.667254644367745
17.1,56.074585895086905
17.2,57.51392805322512
17.3,58.2372898744404
17.4,55.042872070789436
17.5,46.1363529445801
17.6,31.52226018770105
17.7,12.844407327502095
17.8,-7.244642076418356
17.9,-25.972732011643043
18.0,-41.315961314307636
18.1,-52.58027406594913
18.2,-60.52422064134568
18.3,-66.99324170696588
18.4,-74.18743958909164
18.5,-83.79917995713087
18.6,-96.2983805019122
18.7,-110.59928031753971
18.8,-124.226950278105
18.9,-133.94998211842412
19.0,-136.7026498983353
19.1,-130.52701919569935
19.2,-115.25023641571039
19.3,-92.68091568712096
19.4,-66.24401307081683
